Income Source,Amount,Date,Category,Notes
Gumroad,2070,2025-11-03,Digital Products,Sales revenue
Gumroad,2080,2025-11-10,Digital Products,Sales revenue
Play Console,9060,2025-11-17,App Revenue,App store revenue
Runnable,2925,2025-11-18,Services,Platform commission
Runnable,2948,2025-11-26,Services,Platform commission
